accession,strain,gene,genotype
DQ997094,A/duck/Hubei/wg/2002(H5N1),HA,H5
DQ997133,A/chicken/Hubei/wl/1997(H5N1),HA,H5
DQ997268,A/chicken/Jilin/ha/2003(H5N1),HA,H5
DQ997276,A/goose/Jilin/hb/2003(H5N1),HA,H5
DQ997325,A/chicken/Jilin/hk/2004(H5N1),HA,H5
DQ997355,A/chicken/Jilin/ho/2003(H5N1),HA,H5
DQ997377,A/chicken/Jilin/hf/2002(H5N1),HA,H5
DQ997405,A/goose/Fujian/bb/2003(H5N1),HA,H5
DQ997410,A/duck/Zhejiang/bj/2002(H5N1),HA,H5
DQ997513,A/duck/Guangxi/xa/2001(H5N1),HA,H5
DQ997531,A/duck/Shanghai/xj/2002(H5N1),HA,H5
DQ997538,A/chicken/Jilin/xv/2002(H5N1),HA,H5
EF587277,A/Beijing/01/2003(H5N1),HA,H5
EF670482,A/chicken/Hubei/14/2004(H5N1),HA,H5
GU271998,A/chicken/West_Bengal/155505/2009(H5N1),HA,H5
HQ020365,A/bar_headed_goose/Qinghai/2/2007(H5N1),HA,H5
HQ200498,A/duck/Cambodia/D3KC167/2006(H5N1),HA,H5
HQ677023,A/chicken/Huadong/4/2008(H5N1),HA,H5
JQ277225,A/chicken/Sheny/0606/2008(H5N1),HA,H5
JQ609542,A/chicken/Bangladesh/BL_470/2010(H5N1),HA,H5
JQ966928,A/condor/Guangdong/139/2003(H5N1),HA,H5
JQ973670,A/goose/Shandong/k1204/2009(H5N5),HA,H5
JQ973686,A/goose/Guangdong/k0103/2010(H5N5),HA,H5
JX013485,A/parrot/Guangdong/C99/2005(H5N1),HA,H5
JX534549,A/wild_duck/Shandong/1/2011(H5N1),HA,H5
JX534589,A/wild_duck/Fujian/1/2011(H5N1),HA,H5
KC631896,A/swine/Albersloh/IDT14635_1/2012(H1N2),HA,H1
KC631936,A/swine/Warendorf/IDT15018/2012(H1N2),HA,H1
KC859230,A/swine/Thailand/CB001/2009(H1N1),HA,H1
KC859238,A/swine/Thailand/SB038/2010(H1N1),HA,H1
KF918483,A/chicken/Cambodia/X0815302/2013(H5N1),HA,H5
KM892798,A/chicken/Bali/U8661/2009(H5N1),HA,H5
KP288316,A/quail/Nanchang/6631/2013(H5N1),HA,H5
KP638510,A/Vietnam/UT36250_1/2010(H5N1),HA,H5
KP822961,A/swine/France/29_140290/2014(H1N1),HA,H1
KP872890,A/quail/Vietnam/CVVI_49/2010(H5N1),HA,H5
KR732400,A/chicken/Garut/BBVW_223/2007(H5N1),HA,H5
KR732408,A/duck/Egypt/0923_NLQP/2009(H5N1),HA,H5
KR732414,A/duck/Vietnam/NCVD_672/2011(H5N1),HA,H5
KR732454,A/chicken/WestJava/SMI_PAT/2006(H5N1),HA,H5
KR732499,A/chicken/Vietnam/NCVD_117/2008(H5N1),HA,H5
KR732505,A/chicken/Pekalongan/BBVW/2007(H5N1),HA,H5
KR732527,A/chicken/Egypt/096L_NLQP/2009(H5N1),HA,H5
KR732550,A/chicken/Egypt/1063/2010(H5N1),HA,H5
KT762439,A/chicken/Guangxi/S2039/2009(H5N1),HA,H5
KU646917,A/duck/Taiwan/A3400/2015(H5N8),HA,H5
KU851867,A/duck/China/G3/2012(H5N1),HA,H5
KU976628,A/swine/Mexico/AVX27/2012(H1N1),HA,H1
KX513136,A/duck/Vietnam/ST1491_2/2012(H5N1),HA,H5
KX513365,A/duck/Vietnam/ST1551_3/2012(H5N1),HA,H5
KY241105,A/swine/France/56_150300/2015(H1N1),HA,H1
KY925351,A/Canela/LACENRS_1704/2012(H1N1),HA,H1
M38312,A/Leningrad/1954/1(H1N1),HA,H1
MF099019,A/swine/O'Higgins/VN1401_380/2014(H1N1),HA,H1
MF099045,A/swine/Isla_de_Maipo/VN1401_1223/2015(H1N1),HA,H1
MF116310,A/goose/China/E43/2012(H5N1),HA,H5
MG836771,A/swine/Mexico/84703178820/2014(H1N1),HA,H1
MH346933,A/swine/Melipilla/VN1401_3146/2017(H1N1),HA,H1
MN054481,A/swine/O'Higgins/VN1401_4005/2018(H1N2),HA,H1
MN250883,A/MUWRP_Uganda/372/2013(H1N1),HA,H1
AF085414,A/swine/England/438207/94(H1N2),HA,H1
AF085415,A/swine/England/690421/95(H1N2),HA,H1
AF085416,A/swine/England/17394/96(H1N2),HA,H1
AF091306,A/swine/Hokkaido/2/81(H1N1),HA,H1
AF091307,A/swine/Wisconsin/1/61(H1N1),HA,H1
AF091314,A/swine/Netherlands/3/80(H1N1),HA,H1
AF091316,A/swine/Belgium/1/83(H1N1),HA,H1
AF386773,A/Switzerland/5389/95(H1N1),HA,H1
AF408859,A/NWS/G70C(H1N9),HA,H1
AY289927,A/Texas/36/91(H1N1),HA,H1
CY000449,A/New_York/146/2000(H1N1),HA,H1
CY004504,A/mallard/Alberta/267/1996(H1N1),HA,H1
CY083008,A/swine/Hubei/101/2009(H1N1),HA,H1
CY089447,A/Thailand/CU_H2548/2010(H1N1),HA,H1
CY089867,A/swine/Guangdong/34/2006(H1N1),HA,H1
CY111065,A/chicken/India/81754/2008(H5N1),HA,H5
D13573,A/Suita/1/1989(H1N1),HA,H1
DQ139320,A/Swine/Zhejiang/1/2004(H1N2),HA,H1
DQ447187,A/Swine/Taiwan/CO935/2004(H1N2),HA,H1
EF101749,A/Thailand/271/2005(H1N1),HA,H1
EU004452,A/swine/Henan/01/2006(H1N1),HA,H1
FJ536762,A/swine/Beijing/21/2008(H1N1),HA,H1
FJ536842,A/swine/Guangdong/1/2005(H1N1),HA,H1
GQ338087,A/great_crested_grebe/Tyva/120/2009(H5N1),HA,H5
GU121819,A/swine/Hubei/S1/2009(H1N1),HA,H1
HQ541640,A/swine/Tianjin/1/2007(H1N2),HA,H1
HQ908440,A/Jiangsu/ALS1/2011(H1N1),HA,H1
JF820277,A/swine/Jiangsu/s15/2011(H1N1),HA,H1
JX138517,A/swine/Hubei/02/2008(H1N1),HA,H1
JX826516,A/swine/Colombia/0401/2008(H1N1),HA,H1
KC222572,A/swine/Althausen/IDT14031/2011(H1N2),HA,H1
KC222580,A/swine/Duelmen/IDT14128/2011(H1N2),HA,H1
KC222596,A/swine/Langefoerden/IDT14189/2011(H1N2),HA,H1
KC222604,A/swine/Altenberge/IDT14252/2011(H1N2),HA,H1
KC631920,A/swine/Garrel/IDT14891/2012(H1N2),HA,H1
KF142495,A/swine/Korea/CY0423_12/2013(H1N2),HA,H1
KF840460,A/swine/England/117316/1986(H1N1),HA,H1
KJ640179,A/swine/Indiana/13TOSU1043/2013(H1N1),HA,H1
KJ640187,A/swine/Indiana/13TOSU0796/2013(H1N1),HA,H1
KJ640275,A/swine/Indiana/13TOSU0824/2013(H1N1),HA,H1
KJ640435,A/swine/Iowa/13TOSU0240/2013(H1N1),HA,H1
KJ640579,A/swine/Texas/13TOSU0035/2013(H1N1),HA,H1
KJ690511,A/Uganda/MUWRP_243/2011(H1N1),HA,H1
KJ719459,A/chicken/Hebei/1102_MA/2010(H5N2),HA,H5
KJ764772,A/duck/Korea/U11_1/2007(H1N2),HA,H1
KM496995,A/swine/Brazil/66/2011(H1N1),HA,H1
KP822956,A/swine/France/22_120340/2012(H1N1),HA,H1
KP890044,A/swine/Illinois/A01462632/2015(H1N2),HA,H1
KU976586,A/swine/Mexico/AVX17/2012(H1N2),HA,H1
KU976624,A/swine/Mexico/AVX9/2010(H1N1),HA,H1
KU976934,A/swine/Mexico/AVX54/2013(H1N1),HA,H1
KU976948,A/swine/Mexico/AVX29/2012(H1N1),HA,H1
KX431172,A/Kenya/21/2008(H1N1),HA,H1
KX644141,A/chicken/Lebanon/157/2016(H5N1),HA,H5
KX978074,A/mallard_duck/Netherlands/7/2012(H1N1),HA,H1
KY241095,A/swine/France/22_150368/2015(H1N1),HA,H1
KY241099,A/swine/France/53_150417/2015(H1N1),HA,H1
KY241101,A/swine/France/56_150252/2015(H1N1),HA,H1
KY241102,A/swine/France/56_150317/2015(H1N1),HA,H1
KY241152,A/swine/France/35_140402/2014(H1N1),HA,H1
KY241161,A/swine/France/59_160078/2016(H1N2),HA,H1
KY364112,A/swine/France/01_160099/2016(H1N1),HA,H1
KY364184,A/swine/France/35_160197/2016(H1N1),HA,H1
KY925078,A/Cruz_Alta/LACENRS_499/2012(H1N1),HA,H1
KY925460,A/jaguarao/LACENRS_881/2011(H1N1),HA,H1
M38353,A/Kiev/59/1979(H1N1),HA,H1
M81707,A/Swine/Indiana/1726/1988(H1N1),HA,H1
MF098825,A/swine/Chile/41/2014(H1N1),HA,H1
MF098908,A/swine/Chile/VN1401_271/2014(H1N2),HA,H1
MF098915,A/swine/Chile/52/2014(H1N2),HA,H1
MF099071,A/swine/Chile/29/2014(H1N2),HA,H1
MF099276,A/swine/Chile/VN1401_571/2014(H1N1),HA,H1
MF099348,A/swine/Rengo/VN1401_1563/2015(H1N1),HA,H1
MF194050,A/swine/Iowa/MT_12_07_3831/2012(H1N1),HA,H1
MF194954,A/swine/South_Dakota/MT_12_07_5384/2012(H1N1),HA,H1
MF575161,A/black_headed_gull/Netherlands/1/2008(H1N3),HA,H1
MF872818,A/swine/Spain/45690_2/2016(H1N1),HA,H1
MF872832,A/swine/Spain/40240_1/2017(H1N1),HA,H1
MF872844,A/swine/Spain/40250_2/2016(H1N1),HA,H1
MF872846,A/swine/Spain/40250_1/2016(H1N1),HA,H1
MG836739,A/swine/Mexico/10969586/2014(H1N1),HA,H1
MH346538,A/swine/Rancagua/VN1401_2818/2017(H1N2),HA,H1
MH346597,A/swine/Rancagua/VN1401_2942/2017(H1N2),HA,H1
MH346878,A/swine/Coihueco/VN1401_2985/2017(H1N1),HA,H1
MH785011,A/Puerto_Rico/8/1934(H1N1),HA,H1
MH844915,A/swine/South_Korea/KS60/2016(H1N2),HA,H1
MK160092,A/Sw/Bulnes/VN1401_P5SC/2018(H1N1),HA,H1
MN054245,A/Chile/JM_F2043/1996(H1N1),HA,H1
MN179391,A/swine/California/T1800664/2018(H1N1),HA,H1
MT186157,A/swine/China/Guangdong_ZSBS/2017(H1N1),HA,H1
MT186158,A/swine/China/Guangxi_NK/2016(H1N1),HA,H1
U02085,A/Fort_Monmouth/1/1947(H1N1),HA,H1
U72668,A/swine/England/283902/93(H1N1),HA,H1
U72669,A/swine/Schleswig_Holstein/1/93(H1N1),HA,H1
AF091309,A/duck/Alberta/35/76(H1N1),HA,H1
AF091310,A/turkey/Minnesota/1661/81(H1N1),HA,H1
AF091311,A/mallard/Tennessee/11464/85(H1N1),HA,H1
AF091312,A/duck/Australia/749/80(H1N1),HA,H1
AF091313,A/duck/Bavaria/1/77(H1N1),HA,H1
AF091315,A/swine/Italy_Virus/671/87(H1N1),HA,H1
AM920728,A/swine/Germany/Vi5698/1995(H1N1),HA,H1
AM920737,A/swine/Germany/SEk1178/2000(H1N2),HA,H1
CY004458,A/mallard/Alberta/42/1977(H1N6),HA,H1
CY004466,A/mallard_duck/ALB/46/1977(H1N1),HA,H1
CY004474,A/pintail_duck/ALB/219/1977(H1N1),HA,H1
CY004482,A/pintail_duck/ALB/238/1979(H1N1),HA,H1
CY004498,A/pintail_duck/ALB/631/1981(H1N5),HA,H1
CY004507,A/mallard/ALB/201/1998(H1N1),HA,H1
CY004531,A/mallard_duck/ALB/322/1988(H1N1),HA,H1
CY004539,A/blue_winged_teal/Alberta/141/1992(H1N1),HA,H1
CY004546,A/pintail_duck/Alberta/210/2002(H1N1),HA,H1
CY004592,A/mallard/Alberta/127/1977(H1N1),HA,H1
CY005735,A/duck/NZL/160/1976(H1N3),HA,H1
CY005866,A/pigeon/MN/1407/1981(H1N1),HA,H1
CY014901,A/mallard_duck/New_York/170/1982(H1N2),HA,H1
CY014968,A/mallard_duck/New_York/6861/1978(H1N5),HA,H1
CY015167,A/murre/Alaska/175/1976(H1N2),HA,H1
CY039747,A/northern_pintail/Interior_Alaska/1/2007(H1N1),HA,H1
CY060268,A/mallard/Sweden/3/2002(H1N2),HA,H1
CY079544,A/Switzerland/5165/2010(H1N1),HA,H1
CY089387,A/Mexico/InDRE1945/2011(H1N1),HA,H1
CY091698,A/Singapore/GP62/2011(H1N1),HA,H1
CY091722,A/Singapore/TT67/2011(H1N1),HA,H1
CY091753,A/swine/Hubei/04/2009(H1N2),HA,H1
CY115832,A/swine/Cotes_d'Armor/0186/2010(H1N2),HA,H1
CY115835,A/swine/Cotes_d'Armor/0227/2005(H1N1),HA,H1
CY115849,A/swine/Cotes_d'Armor/0274/2008(H1N1),HA,H1
CY115856,A/swine/Morbihan/0287/2007(H1N1),HA,H1
CY120915,A/Guangdong/102/2011(H1N1),HA,H1
CY122357,A/swine/Mexico/Mex52/2010(H1N1),HA,H1
GU066779,A/mallard/Marquenterre/Z237/1983(H1N1),HA,H1
HE802061,A/turkey/Netherlands/543301/1999(H1N1),HA,H1
HM450134,A/turkey/Ontario/FAV117_1C/2009(H1N1),HA,H1
JQ277159,A/swine/Henan/4/2010(H1N2),HA,H1
JQ396220,A/Kenya/119/2011(H1N1),HA,H1
JX309792,A/Singapore/GP4099/2010(H1N1),HA,H1
JX309832,A/Singapore/EN193/2010(H1N1),HA,H1
JX309890,A/Singapore/GP4353/2010(H1N1),HA,H1
KC222588,A/swine/Neumarkt/IDT14179/2011(H1N1),HA,H1
KC222620,A/swine/Tornitz/IDT14598/2012(H1N2),HA,H1
KC222628,A/swine/Garrel/IDT14844/2012(H1N2),HA,H1
KC295234,A/swine/France/56_120177/2012(H1N2),HA,H1
KC345629,A/swine/France/22_110153/2011(H1N2),HA,H1
KC508624,A/Arizona/M1/2012(H1N1),HA,H1
KC508625,A/Arizona/M2/2012(H1N1),HA,H1
KC894804,A/swine/France/IIIeetVilaine_0346/2011(H1N2),HA,H1
KF013902,A/sparrow/Guangxi/GXs_1/2012(H1N2),HA,H1
KF013910,A/chicken/Guangxi/GXc_1/2011(H1N2),HA,H1
KF013934,A/duck/Guangxi/GXd_2/2012(H1N2),HA,H1
KF041881,A/Ceara/119139/2012(H1N1),HA,H1
KF258180,A/goose/Egypt/M7221D/2013(H5N1),HA,H5
KF451899,A/Kenya/261/2013(H1N1),HA,H1
KF451900,A/Kenya/262/2013(H1N1),HA,H1
KF451902,A/Kenya/264/2012(H1N1),HA,H1
KF451903,A/Kenya/265/2013(H1N1),HA,H1
KF514379,A/swine/Denmark/10302_2/2012(H1N2),HA,H1
KF874481,A/wild_waterfowl/Dongting/C2383/2012(H1N2),HA,H1
KJ764732,A/duck/Korea/372/2009(H1N1),HA,H1
KJ764764,A/wild_duck/Korea/PSC30_20/2010(H1N1),HA,H1
KJ889300,A/swine/Arnsberg/1/1979(H1N1),HA,H1
KJ889316,A/swine/Marseille/2260/1980(H1N1),HA,H1
KJ889431,A/duck/Schleswig/21/1979(H1N1),HA,H1
KM213278,A/Oman/SQUH_53/2012(H1N1),HA,H1
KM213284,A/Oman/SQUH_63/2012(H1N1),HA,H1
KM267915,A/swine/France/41_120137/2012(H1N1),HA,H1
KM267917,A/swine/France/59_120271/2012(H1N1),HA,H1
KM267918,A/swine/France/37_120345/2012(H1N2),HA,H1
KM267923,A/swine/France/01_130145/2013(H1N1),HA,H1
KM267934,A/swine/France/29_130429/2013(H1N2),HA,H1
KM276891,A/swine/Taiwan/NPUST0001/2013(H1N1),HA,H1
KM276896,A/swine/Taiwan/NPUST0003/2013(H1N2),HA,H1
KM276908,A/swine/Taiwan/NPUST0010/2013(H1N2),HA,H1
KM276911,A/swine/Taiwan/NPUST0011/2013(H1N2),HA,H1
KM497003,A/swine/Brazil/263/2012(H1N1),HA,H1
KP027601,A/swine/Brazil/G3P1/2013(H1N1),HA,H1
KP822959,A/swine/France/22_140072/2014(H1N1),HA,H1
KP822965,A/swine/France/79_140150/2014(H1N1),HA,H1
KP822967,A/swine/France/29_140342/2014(H1N2),HA,H1
KU509989,A/shelduck/Yasnopolyanske/4_08_02/2011(H1N1),HA,H1
KU976570,A/swine/Mexico/AVX11/2012(H1N1),HA,H1
KU976655,A/swine/Mexico/AVX25/2012(H1N1),HA,H1
KU976737,A/swine/Mexico/AVX47/2013(H1N1),HA,H1
KU976801,A/swine/Mexico/AVX59/2013(H1N1),HA,H1
KU976944,A/swine/Mexico/AVX55/2013(H1N2),HA,H1
KU976950,A/swine/Mexico/AVX31/2012(H1N1),HA,H1
KX013013,A/swine/Schallern/IDT19989/2014(H1N1),HA,H1
KX101195,A/yellow_billed_pintail/Chile/1/2012(H1N1),HA,H1
KX223757,A/Kenya/001/2015(H1N1),HA,H1
KX223758,A/Kenya/002/2015(H1N1),HA,H1
KX431176,A/Kenya/26/2009(H1N1),HA,H1
KX960467,A/blue_winged_teal/Guatemala/CIP049H105_32/2011(H1N3),HA,H1
KX960476,A/blue_winged_teal/Guatemala/CIP049H102_18/2011(H1N3),HA,H1
KX960487,A/blue_winged_teal/Guatemala/CIP049H102_08/2011(H1N3),HA,H1
KX977711,A/greater_white_fronted_goose/Netherlands/1/2007(H1N1),HA,H1
KX977807,A/mallard_duck/Netherlands/28/2009(H1N1),HA,H1
KX977882,A/mallard_duck/Netherlands/37/2011(H1N1),HA,H1
KX978081,A/mallard_duck/Netherlands/16/2009(H1N1),HA,H1
KX978266,A/bewicks_swan/Netherlands/3/2006(H1N1),HA,H1
KX978552,A/mallard_duck/Netherlands/64/2006(H1N1),HA,H1
KX978558,A/greater_white_fronted_goose/Netherlands/1/2012(H1N1),HA,H1
KX978591,A/greater_white_fronted_goose/Netherlands/4/2011(H1N1),HA,H1
KX978723,A/mallard_duck/Netherlands/51/2010(H1N1),HA,H1
KX979169,A/mallard_duck/Netherlands/8/2012(H1N1),HA,H1
KX979268,A/mallard_duck/Netherlands/5/2013(H1N1),HA,H1
KX979325,A/mallard_duck/Netherlands/23/2006(H1N1),HA,H1
KX979392,A/brent_goose/Netherlands/1/2006(H1N1),HA,H1
KY241097,A/swine/France/29_150396/2015(H1N1),HA,H1
KY241103,A/swine/France/62_150308/2015(H1N1),HA,H1
KY241117,A/swine/France/12_150058/2015(H1N1),HA,H1
KY241119,A/swine/France/64_150091/2015(H1N1),HA,H1
KY241153,A/swine/France/29_140468_3/2014(H1N2),HA,H1
KY364104,A/swine/France/40_160098/2016(H1N1),HA,H1
KY487140,A/Baltimore/0088/2016(H1N1),HA,H1
KY487209,A/Taipei/0025/2016(H1N1),HA,H1
KY487602,A/Taipei/0045/2016(H1N1),HA,H1
KY872760,A/Kenya/017/2016(H1N1),HA,H1
KY925038,A/Santa_Cruz_do_Sul/LACENRS_1761/2013(H1N1),HA,H1
KY925154,A/Bage/LACENRS_2728/2013(H1N1),HA,H1
L25071,A/duck/WI/1938/80(H1N1),HA,H1
L25072,A/duck/WI/259/80(H1N1),HA,H1
LC120391,A/Puerto_Rico/8/1934(H1N1),HA,H1
MF098806,A/swine/Chillan/VN1401_1719/2015(H1N1),HA,H1
MF098942,A/swine/Rancagua/VN1401_1107/2015(H1N1),HA,H1
MF098953,A/swine/Rancagua/VN1401_688/2015(H1N1),HA,H1
MF098955,A/swine/Chile/VN1401_343/2014(H1N2),HA,H1
MF099005,A/swine/El_Monte/VN1401_1537/2015(H1N2),HA,H1
MF099064,A/swine/Chile/20/2014(H1N1),HA,H1
MF099191,A/swine/Chile/65/2014(H1N1),HA,H1
MF099255,A/swine/Rancagua/VN1401_1459/2015(H1N1),HA,H1
MF099324,A/swine/Chile/VN1401_510/2014(H1N1),HA,H1
MF099368,A/swine/Chile/VN1401_336/2014(H1N1),HA,H1
MF145941,A/mallard_duck/Netherlands/6/2012(H1N1),HA,H1
MF146715,A/mallard_duck/Georgia/11/2011(H1N1),HA,H1
MF147014,A/mallard_duck/Netherlands/12/2005(H1N1),HA,H1
MF147620,A/common_teal/Netherlands/3/2005(H1N1),HA,H1
MF147957,A/mallard_duck/Netherlands/26/2014(H1N1),HA,H1
MF682808,A/mallard_duck/Netherlands/8/1999(H1N1),HA,H1
MF872838,A/swine/Spain/45700_1/2016(H1N2),HA,H1
MG836747,A/swine/Mexico/11004418/2014(H1N2),HA,H1
MG836795,A/swine/Mexico/84704755140/2014(H1N1),HA,H1
MH061551,A/swine/Mexico/10433030/2014(H1N1),HA,H1
MH061599,A/swine/Mexico/7942103/2010(H1N1),HA,H1
MH061695,A/swine/Mexico/9583196/2013(H1N1),HA,H1
MH134723,A/yellow_billed_pintail/Chile/C13198/2016(H1N1),HA,H1
MH346610,A/swine/Tiltil/VN1401_2714/2017(H1N1),HA,H1
MH346952,A/swine/Rancagua/VN1401_2741/2017(H1N1),HA,H1
MH637435,A/Baltimore/R0235/2018(H1N1),HA,H1
MH637478,A/Baltimore/R0197/2017(H1N1),HA,H1
MH637529,A/Baltimore/R0253/2018(H1N1),HA,H1
MH637776,A/Baltimore/R0264/2018(H1N1),HA,H1
MH667664,A/duck/Guangxi/293D21/2017(H1N2),HA,H1
MH785046,A/swine/France/40_160120/2016(H1N1),HA,H1
MH785070,A/swine/France/35_160233/2016(H1N1),HA,H1
MK159816,A/Santiago/PUC_MVL_066/2018(H1N1),HA,H1
MK160083,A/Sw/Bulnes/VN1401_P6SP/2018(H1N1),HA,H1
MK327710,A/blue_winged_teal/Guatemala/CIP049_H117_125/2013(H1N3),HA,H1
MK393242,A/swine/Bramsche/19408/2013(H1N2),HA,H1
MK692758,A/Kenya/59/2018(H1N1),HA,H1
MK905364,A/Green_Winged_Teal/California/D1615825/2016(H1N1),HA,H1
MK995841,A/Northern_Shoveler/California/D1716623/2017(H1N1),HA,H1
MN054230,A/swine/O'Higgins/VN1401_3848/2018(H1N1),HA,H1
MN253551,A/Blue_winged_Teal/Texas/AH0040390S.4.A/2015(H1N1),HA,H1
MN253555,A/American_Green_winged_Teal/Virginia/AH0102539S.4.A/2016(H1N1),HA,H1
MN686491,A/swine/Iowa/18TOSU2664/2018(H1N1),HA,H1
MT406777,A/Alopochen_aegyptiacus/Belgium/1570_B6613/2017(H1N2),HA,H1
U72667,A/Swine/England/195852/92(H1N1),HA,H1
AB239125,A/Hanoi/30408/2005(H5N1),HA,H5
AB462295,A/Shanghai/1/2006(H5N1),HA,H5
AB571957,A/swine/Chiba/1/1991(H1N2),HA,H1
AF091317,A/swine/Netherlands/12/85(H1N1),HA,H1
AM183672,A/chicken/Vietnam/P41/05(H5N1),HA,H5
AM183673,A/chicken/Vietnam/P78/05(H5N1),HA,H5
AY518362,A/duck/China/E319_2/03(H5N1),HA,H5
AY737289,A/chicken/Guangdong/191/04(H5N1),HA,H5
AY737304,A/duck/Guangdong/173/04(H5N1),HA,H5
CY062606,A/chicken/Egypt/36_4/2008(H5N1),HA,H5
CY077748,A/Netherlands/001R1/1953(H1N1),HA,H1
CY091627,A/duck/Guangdong/wy11/2008(H5N5),HA,H5
CY095680,A/chicken/Viet_Nam/TMU004/2008(H5N1),HA,H5
CY095686,A/chicken/Viet_Nam/TMU007/2008(H5N1),HA,H5
CY095689,A/chicken/Viet_Nam/TMU009/2008(H5N1),HA,H5
CY095695,A/duck/Viet_Nam/TMU021/2009(H5N1),HA,H5
CY095701,A/chicken/Viet_Nam/TMU025/2009(H5N1),HA,H5
CY099958,A/muscovy_duck/Viet_Nam/TMU001/2008(H5N1),HA,H5
CY099961,A/chicken/Viet_Nam/TMU006/2008(H5N1),HA,H5
CY099962,A/chicken/Viet_Nam/TMU008/2008(H5N1),HA,H5
CY099963,A/quail/Viet_Nam/TMU010/2008(H5N1),HA,H5
CY099965,A/muscovy_duck/Viet_Nam/TMU012/2008(H5N1),HA,H5
CY099968,A/chicken/Viet_Nam/TMU015/2008(H5N1),HA,H5
